Tweets,First,Second,Third
ELECTION RESULTS Partial unofficial tally for the presidential race as of 847 pm May 9 2022 hashtagBilangPilipino2022 READ,Neutral,Neutral,Neutral
The weak can never forgive Forgiveness is an attribute of the strong Mahatma Gandhi hashtagHalalan2022,Neutral,Neutral,Positive
prayed for a peaceful clean and honest hashtagHalalan2022 🙏 Lets go out and vote wisely 😊,Neutral,Positive,Neutral
Election watchdog PPCRV says there are no discrepancies so far in their parallel vote count activity but notes that the sample of the election returns they have received is too small to tell percentage match hashtagBilangPilipino2022,Neutral,Neutral,Neutral
with the shit thats happening in the ph posthashtaghalalan2022 I can say that the new governmet is now full of shit like hashtagabscbnfranshise killers oh god it makes me fuking sick,Neutral,Positive,Neutral
In honor of Igorot heritage 🙏 Meet Nicole and Igor Cawed siblings who wore cultural Igorot attire as they cast their votes 12 hashtagBilangPilipino2022,Positive,Positive,Neutral
Please fellow kakampinks pakiusap lets be fair and levelheaded Wag po tayo agad magspeculate ng conspiracies na kesyo may dayaan o predetermined ang results or whatever Please we should be better than this hashtagHalalan2022,Positive,Positive,Neutral
As a Swiftie for good governance and fair politics I only have this to sing for the longest time 🇵🇭 sparkles hashtagHalalan2022 hashtagEleksyon2022 hashtagPHVote hashtagPHVoteResults hashtagvotesafepilipinas,Neutral,Positive,Neutral
new hashtagHalalan2022 hashtagEleksyon2022 votes per 15 min interval instead of cumulative votes as what the majority has computed I still got the same conclusion R2 of the leading tandem is still 10,Neutral,Neutral,Neutral
I will end all traffic jams said every candidate ever automobile 🤥 hashtaghalalan2022,Neutral,Negative,Neutral
The 🇵🇭 is putting a blindfold on itself as we speak hashtagEleksyon2022,Neutral,Neutral,Negative
karen davila is on 🔥 burn the comelec for their incompetence omg ha we are seeing a trend here 🤦🏻‍♂️ 💖 hashtagVoteReportPH hashtagHalalan2022 hashtagEleksyon2022 hashtagLeniKiko2022 Quote,Positive,Neutral,Neutral
And yet we are labeled as MATAPOBRENG KAKAMPINKS when HINDI NA RADIKAL ANG MAGMAHAL ERA is rising This is us being selective as you guys are the one who started it LMAO hashtagHALALAN2022 hashtagLeni hashtagPPCRV hashtagComelec,Negative,Negative,Neutral
The Nacionalista Party formalizes their endorsement of House Majority Leader and Leyte Rep Martin Romualdez as House Speaker of the incoming 19th Congress hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Today I voted with not only my future in mind but also the future of everyone else hashtagHalalan2022 hashtagEleksyon2022,Neutral,Positive,Neutral
Religious group Iglesia ni Cristo endorses the reelection bid of Quezon City Mayor Joy Belmonte in hashtagHalalan2022 Other candidates for QC mayor are Glenda Araneta Ricardo Bello Mike Defensor Jose Ingles Rolando Jota Emma Orozco Tom Salutan and Diosdado Velasco,Positive,Neutral,Neutral
hashtagHalalan2022 Marcos votes reach 30M as Leni falls behind further,Negative,Neutral,Neutral
Lets vote wisely tomorrow 🇵🇭 🙏🏽 hashtagHalalan2022,Positive,Positive,Neutral
I think tama labyu 🤍 🌸 sparkles hashtagpilinas hashtagHalalan2022 hashtagLeni hashtagPPCRV,Positive,Positive,Neutral
While listening sa space nato alam ko na di sayang ang unang boto ko hashtagHALALAN2022,Neutral,Neutral,Neutral
As a poll watcher gusto kong pasalamatan isa isa yung mga bumoboto ng number 10 😭 hashtagEleksyon2022 hashtagLeniForPresident2022 hashtagIpanaloNa10To,Positive,Neutral,Positive
Basta ako hindi naniniwala sa survey Hindi ako naniniwala sa endorsement Naniniwala ako sa tapat Doon sa may gawa hindi sa puro ngawa VOTE WISELY mga mars hashtagHalalan2022,Neutral,Positive,Neutral
Continue making them accountable Make them feel the pressure hashtagHalalan2022,Neutral,Positive,Neutral
The Surigao Del Sur COC has been located and is still within the office of the provincial election officers NBOC says concerned officials will be asked to explain via Zoom why they failed to put the COC inside the COC ballot box hashtagEleksyon2022 via,Neutral,Neutral,Neutral
ITS OFFICIAL loudspeaker Here are the 12 newlyelected senators for the 19th Congress of the 🇵🇭 The Commission on Elections sitting as the National Board of Canvassers proclaimed the winners on May 18 hashtagHalalan2022 hashtagVotePilipinas,Neutral,Neutral,Neutral
hashtagNeverAgainDilawan hashtagKayLeniTalo hashtagNeverAgainLeni hashtagHalalan2022,Negative,Positive,Negative
❤️ 💚 hashtagHalalan2022,Negative,Positive,Positive
Anong problema niyo kay Robin Ayaw niyo ba ng may nagsasabi sa Malacanang ng Hasta la vista baby 😂 hashtagElection2022PH hashtagsenatorrobinpadilla,Negative,Negative,Neutral
Currently reading mindfck The story of how CA Cambridge Analytica started the use of Psychological weapon with the data from FB to turn people with dark triad traits to act on CAs will Dika immune if you do not know this tacticts hashtagHalalan2022 hashtagILOILOisPink hashtagLeniKiko hashtagBBM,Negative,Neutral,Neutral
Congratulations to our KANP local candidate Francis Sydney Belcia for his election as Councilor of Dalaguete Cebu hashtagHalalan2022 hashtagKayaNatinPilipinas,Neutral,Positive,Neutral
sino ba may balat sa pwet sa mga kasama ko jusq ang aga pa para magka aberya agad sa machine jdisnsosos hashtagEleksyon2022,Neutral,Negative,Negative
Our first episode is introducing and comparing the qualifications of our presidential candidates Please support us by watching and sharing our series Ill be grateful 🙏🏼 hashtagEleksyon2022 hashtagHalalan2022,Neutral,Neutral,Neutral
Senator Jinggoy Estrada inimbitahan ba si Senator JV Ejercito sa kanyang victory party hashtagPHElections2022 hashtagEleksyon2022,Negative,Neutral,Neutral
hashtagEleksyon2022 Presumptive Pres dumating na rin sa Batasan Pambansa para sa kanyang proklamasyon bilang nanalo sa pagkapangulo via,Neutral,Positive,Neutral
JUST IN Nilinaw ni COMELEC Acting Spokesperon Rex Laudiangco na hindi pa pinal at dedesisyunan pa lang ng komisyon ang pagbibigay ng karagdagang honoraria sa mga gurong higit 24 oras na nagtrabaho noong May 9 elections via hashtagBilangPilipino2022,Neutral,Positive,Neutral
WATCH Congress proclaims Ferdinand Marcos Jr and Sara Duterte as the next president and vice president of the 🇵🇭 at the Batasang Pambansa hashtagBilangPilipino2022 via News5Maeanne Los Baos,Negative,Positive,Neutral
noong 2016 wala namang pake ang media sa feelings ng supporters ni BBM pero ngayong 2022 ang daming psychiatric tips sa news kita mo ang bias ng media lol hashtagEleksyon2022,Negative,Neutral,Neutral
hahaha gandang pambungad sa umaga ni hashtagcheldiokno guys lets not forget him sa senators natin like hashtagLeniKiko2022 wag sayangin hashtagHalalan2022,Positive,Neutral,Neutral
2022 PH Election Pasig City Marcos won Pasig City by about 17 Leni won big in the brgys in and around the Ortigas CBD containing the subdivisions of Valle Verde and Green Meadows and the Kapitolyo area She lost to BBM in most of the areas east of C5 hashtagHalalan2022,Negative,Neutral,Neutral
Also we do not spread false news and we only generate reports with factual information as basis of the claims from the data that we are saying Congrats satin and maraming salamat and See you soon 🥰 ✌️ ❤️ hashtagKontraDaya hashtagHalalan2022,Positive,Negative,Neutral
Out of 11 candidates run under Team RobredoPangilinan slate only 3 of them were made it to the Senate and only one of them is likeiy to sit as lone minority bloc Senator Lisa Hontiveros hashtagHalalan2022 hashtagEleksyon2022,Neutral,Negative,Neutral
The canvass does not include Lanao del Sur yet Laudiangco The prevailing decision of the Commission en banc is to wait for the conduct of the May 24 special elections in the 12 precincts in Tubaran para makumpleto ang Lanao del Sur at makatransmit sila hashtagEleksyon2022,Neutral,Neutral,Neutral
This is it Umpisa na ng official counting for the Presidential and Vice Presidential ballots hashtagHalalan2022,Neutral,Neutral,Neutral
Kaya naman ang sektor ng negosyo inaabangan na ang magiging plano ng sunod na manunugkulan sa usapin ng agrikultura ekonomiya at transportasyon May 12 2022 Bisitahin ang para sa iba pang updates tungkol sa hashtagEleksyon2022,Neutral,Negative,Neutral
To start the canvassing of votes for president and vice president in the recentlyconcluded hashtagEleksyon2022 the Congress convened on Tuesday morning as the National Board of Canvassers,Neutral,Neutral,Neutral
POLLING PRECINCTS ARE NOW OPEN YOU MAY NOW CAST YOUR VOTES PAALALA BAYAN MUNA hashtageleksyon2022 hashtagprotectyourvotes hashtagPHVoteWatch hashtagFightFraudMay2022 hashtaghalalan2022 hashtagbetterPH hashtagBabaeLabanSaFakeAtFraud hashtagBantayBoto2022 hashtagBotoPH hashtagStandForCleanAndCredibleElections hashtagStopElectionRelatedViolence,Neutral,Neutral,Neutral
Replying to Kaya iboto natin ang Pilipinas Mabuhay ang Sambayanang Pilipino 🇵🇭 hashtagHalalan2022 Pubmat by Raymond Tayag 44,Neutral,Negative,Neutral
also the way they started rumours about him to start unrest is very hashtagHalalan2022,Neutral,Neutral,Neutral
Paano na lubog sa utang sa Chi na hangang angkinin na ng Chi na ang Pilipinas kase hindi na kayang bayaran ng mga taong namamahala ng bansa ang China Uunahin nitong punuan ang bulsa sa laki ng nagastos sa hashtagHalalan2022,Neutral,Neutral,Neutral
Tuwing eleksyon feeling ko nagiging director na ako Kaso wala akong control sa script 🎬 🗳️ hashtagHalalan2022 hashtagDirectorMode,Neutral,Neutral,Neutral
Longest night of the 🇵🇭 May 9 2022 hashtagEleksyon2022 hashtagelectionreturns,Neutral,Positive,Neutral
Ingat sa pagboto bukas hashtagHalalan2022 Photo from COMELECs Facebook page,Neutral,Positive,Neutral
hashtagHalalan2022 Partial and Unofficial Tally As of 917 PM 6378 of the votes transmitted PRESIDENT top 5 candidates Marcos 20978083 Robredo 9921820 Pacquiao 1879407 Moreno 1378744 Lacson 660178,Neutral,Neutral,Neutral
Hanggang sa pag boto may paandar kaparin LenLen 😆 😁 hashtagMarcosDuterte2022 hashtagHalalan2022 hashtagEleksyon2022,Negative,Negative,Negative
isnt a favorite of mine but he has some good points here hashtagElection2022 hashtagNewYork The Capitol Connection Suozzi takes the gloves off in primary contest with Hochul,Neutral,Neutral,Neutral
off Do not put the blame to the voters or to pandemic occurrence its the defected VCMs that caused a lot of voters not making it to the cut off hashtagHalalan2022 hashtagEleksyon2022 hashtagVoteReportPH hashtagElection2022PH,Neutral,Positive,Neutral
QUESTIONS TO THE NEW PRESIDENT OF THE PHILIPPINES How will you ensure that every Filipino voter on the next election will be able to cast their vote with assurance and security that it comes from a clean and fair election hashtagHalalanResults hashtagEleksyon2022,Neutral,Neutral,Positive
The Tubaran special elex will affect results in the partylist election Comm George Garcia We have only 63 seats Yung 63 at 64 halos ang difference lang 1000 Yung 63 62 61 60 ang difference lang wala pang 2000 hashtagEleksyon2022,Neutral,Neutral,Neutral
hashtagTampokSaTikTok Sweetest Pie Nakadalo ba kayo sa campaign rallies noong panahon ng hashtagHalalan2022 Suot ni Nadine Lustre ang damit na idinisenyo ni Lyn Alumno noong siyay pumunta sa campaign rally ng kandidato sa pagkaPangulo na si Vice President Leni Robredo noong Abril 27,Positive,Neutral,Neutral
Alamin ang mga plataporma ng mga kandidato hashtaghalalan2022,Neutral,Positive,Positive
Day off 🧡 Vote wisely blondies hashtagElection2022PH,Neutral,Positive,Positive
Petitioners Elections are more than just a numbers game such that an election victory cannot bypass election eligibility requirements The balance must always tilt in favor of upholding the rule of law hashtagBilangPilipino2022,Neutral,Positive,Neutral
Replying to NOW Keep posted on this thread for live updates from polling precincts in Laguna hashtagHalalan2022 hashtagWeDecide,Neutral,Neutral,Neutral
Preelection debates can provide valuable insights into the candidates positions Stay tuned 📊 hashtagDebateInsights hashtaghalalan2022,Neutral,Neutral,Neutral
Comelec Faster Transmission due to better facilities hashtagGenshinImpact analogy Xianglings role is Physical DPS instead of SUB DPS Ayakas artifacts are Pale Flame instead of Blizzard Strayer hashtagHalalan2022,Neutral,Neutral,Neutral
Naiulat rin kahapon na may ilan pang barangay sa Lanao del Sur ang hindi nakapagsagawa ng botohan matapos ang hindi pagkakaunawa sa clustering na sistemang ipinatupad ng COMELEC hashtagHalalan2022 hashtagSIWALAT2022 hashtagSiyasatTungoSaPagkamulat hashtag2MINDIG,Neutral,Neutral,Neutral
Your candidate of choice does not define who you are But it does reflect your values hashtagElection2022PH,Neutral,Neutral,Positive
Comelec to proclaim Gabriela Kabataan despite pending cases hashtagHalalan2022,Neutral,Neutral,Neutral
The hashtagkakampinks or hashtagpinklawans stated many times that theres no hashtagSolidNorth Here it is Feast on your humble pie hashtagLENICONCEDE hashtagkikoconcede hashtagEleksyon2022 hashtagHalalan2022 hashtagBilangPilipino2022 hashtagCOMELEC,Negative,Neutral,Neutral
Ang preeleksyon ay panahon para alamin ang kasaysayan at mga aral ng nakaraan scroll hashtagKasaysayan hashtaghalalan2022,Neutral,Positive,Positive
BenBen now takes the stage starting their set with Pagtingin one of their classics hashtagHalalan2022,Neutral,Positive,Neutral
Bakit may mga volunteers Wala ba kayung tauhan hashtagEleksyon2022 hashtagBBMSARA2022,Negative,Positive,Neutral
Touchdown Naga City Ill cover Vice President Leni Robredo as she casts her vote tomorrow as a special correspondent for The ABSCBN News Channel hashtagHalalan2022 marathon coverage Follow our coverage starting 5 am Vote wisely 🗳️,Positive,Neutral,Neutral
Top Agusan del Sur officials join Robredo in rally as CARAGA support for Leni grows hashtagHalalan2022,Positive,Neutral,Neutral
Presidentelect Bongbong Marcos won by a majority vote of 316 million or 5877 of the votes Vice presidentelect Sara Duterte also won by a landslide with 322 million or 6153 of the votes hashtagBilangPilipino2022,Negative,Neutral,Positive
Replying to No malfunctioning VCMs in NCR Many have completed transmitting their election returns hashtagHalalan2022,Neutral,Neutral,Positive
hashtagSwitchToIsko hashtagBaGuCaSi hashtagPresidente3Isko hashtagHalalan2022 Quote,Neutral,Neutral,Neutral
done voting 🌸 to all my filo moots PLEASE VOTE WISELY hashtagHalalan2022 hashtagEleksyon2022,Positive,Positive,Positive
Listen to Ehemplo Mga Awitin ng Bagong Pinoy in YouTube Music 🙏 🇵🇭 hashtagjmm hashtagjesuitmusic hashtagHalalan2022,Neutral,Neutral,Neutral
Naiproklama na ngayong Miyerkoles Mayo 18 ang 12 nanalong senador sa 2022 elections hashtagTunayNaTabloidista hashtagAbanteNews hashtagEleksyon2022,Neutral,Neutral,Neutral
All the hashtagElection2022PH issues na pinost on socmed has anyone made a formal complaint na kay COMELEC bec I think yun ang gusto nila dahil nga bulag sila,Neutral,Neutral,Neutral
Im sorry but am I the only one confused as to how it took so long to count 16 Million votes in 2016 yet it took less than 24 HOURS for over 25 MILLION VOTES please enlighten me on the way they did this hashtagHalalan2022,Neutral,Negative,Neutral
Always remember God helps us in the best way He can Even things go mysterious that is the best way for Him We only need to trust hashtagHalalan2022 hashtagEleksyon2022 hashtagHalalanResults hashtagPPCRV,Neutral,Positive,Positive
Our country deserves leaders who will prioritize healthcare for all hospital pill hashtagHalalan2022 hashtagHealthcareForAll,Neutral,Positive,Positive
GOOD MORNING PILIPINAS VOTE WISELY AND PROTECT YOUR BALLOTS hashtagHalalan2022,Neutral,Positive,Positive
Replying to Early birds form lines outside a polling precinct in Muntinlupa hashtagHalalan2022 via Marianne de Leon,Neutral,Neutral,Positive
Nagsisimula na ang countdown para sa halalan Magtutulungan tayo para sa maayos at mapayapang eleksyon hashtagHalalan2022 hashtagCountdown,Neutral,Positive,Positive
Sa halalan tayo ay may karapatan na magpahayag ng ating saloobin hashtagHalalan2022 hashtagSaloobin,Neutral,Neutral,Positive
Huwag magatubiling magpalabas ng iyong boses hashtaghalalan2022,Neutral,Positive,Positive
hashtagElection hashtagwatchdog hashtagKontraDaya on hashtagThursday claimed there was hashtagfraud in the 2022 hashtagNational and hashtagLocal hashtagElections hashtagEleksyon2022,Neutral,Neutral,Positive
Man of Destiny For God and Country Nais namang pagtuunan ng pansin ng tandem na Pacquiao at Atienza ang pagwawakas ng korapsyon at kahirapan hashtagMatanglawinElectionSeries hashtagHalalan2022,Neutral,Positive,Neutral
LOOK Another placard prepared by a supporter here at Iskos miting de avance reads BBM Buong Bansa Moreno hashtagHalalan2022,Negative,Neutral,Neutral
Lets go LeniKiko Ipanalo na natin to 🌸 Praying for the best 💕 hashtagEleksyon2022,Positive,Positive,Neutral
Kunyare di nalang siniraan ni FVP niyo sarili niyang bansa international Kunwari di siya pakitang tao at di kontra ng kontra Kunwari santa siya Santa Punyeta 🤮 🤮 🤮 hashtagTalunan hashtagElection2022PH,Neutral,Neutral,Neutral
Comelec Commissioner George Garcia in a press briefing on Wednesday said that it is right and just for some individuals to conduct rallies as it is essential in a democracy hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Replying to JUST IN Presidential aspirant Ferdinand Marcos Jr has casted his vote in Batac Ilocos Norte hashtagHalalan2022,Negative,Positive,Neutral
MAHAL PA RIN KITA PILIPINAS KAHIT MAHIRAP Yan ang tunay na simbolo ng pagmamahal SAKRIPISYO 🌷 hashtagHalalan2022 hashtagPilipinasKongMahal,Positive,Positive,Neutral
Sure we produced national officials like the late Sen Raul Rocco Sec Jesse Robredo and VP Leni Robredo But in hashtagHalalan2022 we only have Rep Edcel Lagman who is also part of a dynasty Rep Gabby Bordado who will most likely be the last remaining dissenters in Congress,Neutral,Neutral,Neutral
Tinanggap na ni Senador Manny Pacquiao ang pagkatalo sa katunggaling si dating senador Bongbong Marcos sa hashtagHalalan2022,Negative,Neutral,Neutral
Google Law of Large Numbers PPCRV explains how experts from the academe derived a conclusion that the alleged Magic 6832 is false via hashtagHalalan2022,Neutral,Neutral,Neutral
when asked on biggest learnings during the campaign Ang ganda ng Pilipinas marami nga lang mahirap na tao Nakita natin yun Jorge nakakaawa hashtaghalalan2022,Neutral,Neutral,Neutral
ngayon lang ako kinabahan ng ganito sa election Please Lord You always know whats best Please cover our country with your grace 🌸 hashtagHalalan2022 hashtagLeniRobredoForPresident hashtagKikoPangilinanForVicePresident hashtagIpana7oNa10ParaSaLahat,Positive,Positive,Neutral
Everytime I remember that a Marcos won this Presidential election hashtagElection2022PH hashtagLeniKikoAllTheWay2022,Positive,Positive,Neutral
Sa dami ng mga kampanya parang may paunlimited na eco bag 🛍️ 🗳️ hashtaghalalan2022,Neutral,Negative,Neutral
And this hashtagEleksyon2022,Neutral,Positive,Neutral
Im so disappointed po sa mga kinikilos po ng coFilipinos ko hashtagHalalan2022,Negative,Negative,Neutral
Yay kasama sa boto ni mother si Chel 🥹 hashtagEleksyon2022,Positive,Positive,Neutral
Taking part in history 💕 🌸 Praying for a safe honest and peaceful election 🗳️ ✍️ hashtagNagaIsPink hashtagIpanaloNa10ParaSaLahat hashtagLeniKiko2022 hashtagHalalan2022,Positive,Positive,Neutral
After being redtagged sumabay pa tita ko who called me names Guess who these people supported in hashtagHalalan2022,Neutral,Negative,Neutral
Bob Ong once said in his book Bakit baliktad magbasa ng libro ang mga Pilipino Maraming may ayaw sa Pilipinas pero walang nagtatanong kung gusto ba sila ng Pilipinas Makes sense Saan na yung mga lalayas dito hashtagHalalan2022 hashtagPresidentBongBongMarcos hashtagBBMSARA2022,Negative,Neutral,Neutral
Participate in Mondays elections For us Vote for Us hashtagVoteForUs hashtagVoteForUsPH hashtagNAMFREL hashtagBantayNgBayan hashtag2022NLE hashtagHalalan2022 hashtagEleksyon2022,Positive,Neutral,Neutral
Queue spilled over the road as early as 6AM Actual casting cannot catch up and the confusion at triaging worsened the situation Tiis lang para sa bayan hashtagHalalan2022 hashtagLeniKiko2022 hashtagIpana7oNa10ParaSaLahat,Neutral,Neutral,Neutral
The controversial Easter press conference was one of the key developments that took place during the conduct of the survey from April 16 to 21 Does Domagoso regret his remarks at the presscon He says I never regret saying anything via hashtagHalalan2022,Neutral,Neutral,Neutral
Replying to and LOOK Isolation area outside Dasmarias Village Clubhouse for voters who will symptoms of hashtagCOVID19 They will not be turned away if they show up in voting precincts via For more hashtagHalalan2022 stories visit,Neutral,Neutral,Neutral
m sorry but am I the only one confused as to how it took so long to count 16 Million votes in 2016 yet it took less than 24 HOURS for over 25 MILLION VOTES please enlighten me on the way they did this hashtagHalalan2022,Neutral,Negative,Neutral
Presidential candidate Bongbong Marcos has arrived in Mariano Marcos Memorial Elementary School to cast his vote for hashtagHalalan2022 For more hashtagHalalanResults visit,Negative,Neutral,Neutral
GOOD MORNING BUONG PAMILYA FOR LENI THIS IS NOW A hashtagFACT 🌷 🌸 hashtagEleksyon2022 hashtagLeniRobredoForPresident hashtagIpana7oNa10ParaSaLahat,Positive,Positive,Neutral
Botohan sa dalawang clustered precinct sa Mariano Ponce Elementary School Sta Cruz Maynila naantala matapos magkaproblema ang 2 vote counting machines via hashtagHalalan2022,Neutral,Neutral,Neutral
LOOK Sen Joel Villanueva arrives in PICC for proclamation of winners in Senatorial race hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Full report UniTeams Bongbong Marcos and Sara Duterte clinch Iglesia ni Cristos bloc vote hashtagHalalan2022,Negative,Neutral,Neutral
Heading out to vote Good luck 🇵🇭 hashtagIpana7oNa10ParaSaLahat hashtagLeniKiko2022 hashtagHalalan2022,Positive,Positive,Neutral
hashtagEleksyon2022 link,Neutral,Neutral,Neutral
Huwag tayo maging apathetic Ang kinabukasan ay nasa ating mga kamay Bumoto para sa pagbabago 🇵🇭 🗳️ hashtagHalalan2022 hashtagChangeIsComing,Neutral,Positive,Positive
Good morning Pilipinas Praying to have a peaceful and safe voting hashtagEleksyon2022,Neutral,Positive,Neutral
Senator and wife Jinkee pay a courtesy call to Misamis Oriental Governor Bambi Emano before proceeding to his grand rally at the CDO Ampitheater 📹 Team Pacquiao hashtagHalalan2022,Neutral,Neutral,Neutral
May 9 2022 Humana ko ug Botar hashtagEleksyon2022 hashtagPilipinas2022 🙃 😊 😉,Neutral,Neutral,Positive
BASAHIN ang buong ulat Naiproklama na ng Comelec umuupo bilang National Board of Canvassers ang 12 na nanguna sa hashtagHalalan2022 senatorial race,Neutral,Neutral,Neutral
Iregularidad umano sa hashtagEleksyon2022 dapat busisiin ng Kongreso para matiyak na hindi na mauulit ayon kay Sen Aquilino Pimentel III via,Neutral,Neutral,Neutral
Huh hashtagHalalan2022,Neutral,Neutral,Neutral
Manalo man o matalo Ill still choose HER hanggang sa susunod na habang buhay I will never ever forget this election era because of VP Leni i met some people that turned into friendship hashtagEleksyon2022,Positive,Positive,Neutral
PH VICE PRESIDENT WINNER SARA Z DUTERTE hashtagHalalan2022 hashtagMYXAWARDS2022,Negative,Neutral,Neutral
The winning partylists pose for a group photo hashtagEleksyon2022 via,Neutral,Neutral,Neutral
Yep There are a total of 47 validated votebuying that could be used on the claims that there are fraudulent activities in the 🇵🇭 hashtagHalalan2022 123 electioneering 31 redtagging and other reports that are documented Inefficient,Negative,Neutral,Neutral
You call it sourgraping We call it grieving At least let us grieve and do not invalidate our feelings Your candidate already won right So stop gloating hashtagHalalan2022,Neutral,Positive,Neutral
Kanino pwede ireport yung mga namimigay ng fliers Does any LeniKiko movement here in Antipolo na nag labas ng memo na mag bigay ng fliers Jusq dito 4 na kabataan namimigay ng fliers ballot samples and any paper na may number and name of the candidates hashtagHalalan2022,Neutral,Neutral,Neutral
Pilipinas Pumasok na ang ika walong latest partial and unofficial vote Naway ang inyong mga pagpipilian ay sumasalamin sa inyong mga pagasa hindi ang inyong mga takot Follow us For more Halalan 2022 Updates hashtagHalalan2022 hashtagEleksyon2022,Neutral,Positive,Neutral
The presence of hashtagElectionAftermath was felt on this NU Pep Squad dance segment That was hashtagLeniKiko2022 color right 💗 💚 Is it was intended for the recently concluded hashtagHalalan2022 thanks for the tribute NU hashtagNUr3wind hashtagUAAPCDC2022 hashtagUAAPCDCSeason84,Positive,Positive,Neutral
Bumoto para sa bansa hindi para sa sarili Isalaysay natin ang ating pagmamahal sa Pilipinas sa pamamagitan ng boto 🗳️ 🇵🇭 hashtagHalalan2022,Neutral,Positive,Positive
Salen Trinidad Chairman of Cluster precinct 66 Bgy Alicia in Quezon City and Board of Election inspectors advise voters to use Comelec Marking Pens and not ordinary ballpens in filling up their ballots via hashtagHalalan2022,Neutral,Neutral,Neutral
casted hashtagelectionph2022 hashtageleksyon2022 hashtagHalalan2022,Neutral,Positive,Neutral
Today is the day ❤️ 💚 ✌️ 👊 hashtagEleksyon2022,Negative,Positive,Neutral
Do it for the country 🇵🇭 As we vote today let us pray for a peaceful and credible elections May Gods righteousness and plans be upheld as we look to Him for the future of our nation Vote Safe hashtagEleksyon2022 hashtagHalalan2022 hashtagMavsSantosDesign,Neutral,Positive,Neutral
PH SENATOR TOP 12 WINNER ROBIN PADILLA hashtagHalalan2022 hashtagMYXAWARDS2022,Negative,Neutral,Neutral
Cebu provinces hashtagHalalan2022 voters turnout at 87 slightly higher vs 2019 polls Comelec,Neutral,Positive,Neutral
Vote Wisely guys hashtagElection2022PH hashtagChelDioknoSaSenado,Positive,Positive,Positive
Enjoy our coworking day pass for P 30000 only when you present your voters ID or voters registration Message us now to reserve your spot hashtagElection2022 hashtagelection hashtagElection2022PH hashtagworkhavenph hashtagsafespace hashtagcoworkingspace hashtagmeetingroom hashtagofficespace,Neutral,Positive,Neutral
Bumoto nang tama Para hindi masayang ang boto mo At bumoto ng tama Para sa kinabukasan mo hashtagEleksyon2022,Neutral,Positive,Neutral
JUST IN UP Diliman declares itself as an independent nation hashtagHalalan2022,Neutral,Neutral,Neutral
Sinalubong ng palakpakan ng mga watchers ang last voter ng Barcelona na si Arvin Pagas Nagtapos ang periodo ng isang buwang overseas voting sa Barcelona ng maayos at walang major incidents via hashtagTFCNews hashtagHalalan2022,Negative,Neutral,Neutral
Neutrality has its place It however has NO place in a time when an entire country is at stake Which side of its future YOUR future are you on hashtagHalalan2022 hashtagEleksyon2022 hashtagfuture hashtaggoodgovernance hashtagPHVote hashtag🇵🇭 hashtagPhilippineElections2022 hashtagNeverAgain hashtagNeverForget,Positive,Neutral,Neutral
Praying also for everyones safety especially mga kasama kong magcocover bukas Ingat po sa lahat ng bahagi ng media,Neutral,Positive,Neutral
Kumusta na kaya ung mga di pa kumakalma sa result ng election hashtagElection2022PH hashtagElections2022 hashtagEleksiyon2022,Neutral,Positive,Neutral
THREAD Tinig ng Plaridel presents its live coverage of the 2022 national and local elections TNP reporters are stationed across the Metro Manila area to bring you updates on hashtagHalalan2022 Follow this Twitter thread for updates hashtagBumotoKa,Neutral,Neutral,Neutral
Sec Leonor Briones says she welcomes the development and says DepEd will be in able hands hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Ipanalo ang tamang lider na magdadala ng tunay na pagbabago 🗳️ hashtagHalalan2022 hashtagPagbabagoParaSaBayan,Neutral,Positive,Neutral
Dont trigger the silent majority because u might just regret it In tagalog wag nyu kame hamunin 😤 😡 hashtagEleksyon2022,Neutral,Negative,Neutral
hashtagLenikiko hashtagBBMSARAH2022 hashtagIskoMoreno hashtagPingLacson2022 hashtagPhilippineElections2022 hashtagHalalan2022 hashtagVoteSafePilipinas hashtagUniteamBBMSara2022,Negative,Positive,Neutral
Ang aga aga pinapaiyak ako hashtagHalalan2022 Quote,Neutral,Neutral,Neutral
As Ive said before to those who are gaslighting Saying that Lenis loss is merely kAyo kse mGa fEnKlAoNeS pOrO aGrEsiBo is a sad excuse to cover up years worth of conditioning disinformation troll farms and using everything to revise history hashtagEleksyon2022,Negative,Positive,Neutral
When it comes to election race I always rely on because it has accurately predicted the election results in the USA Spain Germany Brazil France and even in the 🇵🇭 wherein it has predicted the win of Rodrigo Duterte in 2016 🇵🇭 hashtagHalalan2022,Positive,Positive,Neutral
Thats a wrap for my hashtagHalalan2022 coverage in Rome ❤️ Makakabalik na ako sa mga namiss kong updates kay Kyungsoo at EXO ❤️,Positive,Positive,Neutral
VP and Senator will be expressing their gratitude to supporters and volunteers in the Tayo ang Liwanag gathering in Quezon City Circle this Friday May 13 from 58pm hashtagHalalan2022 via,Neutral,Neutral,Neutral
Presumptive senator Robin Padilla picks former chief presidential legal counsel Salvador Panelo as his legislative consultant adviser and mentor READ RELATED STORY 14 hashtagEleksyon2022 via,Neutral,Neutral,Neutral
